,protein_g,carbs_g,fat_g,fiber_g,sugar_g,carbs,fat,iron,vitamin_c,protein_(g),trans_fat_(g),saturated_fat_(g),sodium_(mg),total_carbohydrates_(g),cholesterol_(mg),dietary_fibre_(g),sugars_(g)
count,457.0,457.0,457.0,457.0,457.0,457.0,457.0,457.0,457.0,457.0,457.0,457.0,457.0,457.0,457.0,457.0,457.0
mean,0.0,0.0,0.0,0.0,0.0,11.47164113785558,2.6995404814004376,0.37816192560175055,6.0531728665207885,3.6954048140043763,0.6921225382932166,0.01991247264770241,3.3698030634573306,68.24945295404814,19.059080962800877,0.42669584245076586,17.455142231947484
std,0.0,0.0,0.0,0.0,0.0,18.525919542319063,7.143078020305327,0.8477165613926875,14.045166639083106,4.970125741929555,1.3595758829291824,0.05518701257768714,7.033831665580818,87.90559582365826,23.49418576888742,1.125652160603476,21.84079809526335
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,5.0,4.0,0.0,0.0
75%,0.0,0.0,0.0,0.0,0.0,15.15,0.46,0.33,5.5,6.0,0.5,0.0,5.0,125.0,36.0,0.0,33.0
max,0.0,0.0,0.0,0.0,0.0,85.13,74.02,9.09,136.0,20.0,9.0,0.3,40.0,340.0,90.0,8.0,84.0
